tender_id,tender_number,title,description,due_date,bid_opening_date,bid_offer_validity,emd_amount,estimated_cost,organization_details,url
2026_COJAL_1270962_1,2026_COJAL_1270962_1,"Providing services of Semi skilled and Unskilled staff for Fitter, Supervisor and Valve Operation, maintenance of pipe line at Ambernath East and West area for the Period of One Year Tal.Ambernath Dis","Providing services of Semi skilled and Unskilled staff for Fitter, Supervisor and Valve Operation, maintenance of pipe line at Ambernath East and West area for the Period of One Year Tal.Ambernath Dist Thane",16-02-2026,17-02-2026,120,"92,493","1,84,98,520","Member Secretary(WSSD),Mumbai||Chief Engineer(Urban and Rural),MJP,Maharashtra||SE(Thane),WSSD,Maharashtra||EE(Thane),SE(Thane),WSSD,Maharashtra",https://mahatenders.gov.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SxqTufwJbkYpWPnQWEHe00Q%3D%3D
2026_COJAL_1268690_1,2026_COJAL_1268690_1,"Providing services of Semi skilled and Unskilled staff for Fitter, Supervisor and Valve Operation, maintenance of pipe line at Badlapur Office for the Period of One Year Tal.Ambernath Dist Thane","Providing services of Semi skilled and Unskilled staff for Fitter, Supervisor and Valve Operation, maintenance of pipe line at Badlapur Office for the Period of One Year Tal.Ambernath Dist Thane",09-02-2026,10-02-2026,120,"75,670",NA,"Member Secretary(WSSD),Mumbai||Chief Engineer(Urban and Rural),MJP,Maharashtra||SE(Thane),WSSD,Maharashtra||EE(Thane),SE(Thane),WSSD,Maharashtra",https://mahatenders.gov.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SHd5ktxgJQyxj8Xdjupy4ig%3D%3D
2025_BEST_1260912_1,2025_BEST_1260912_1,"REPAIR KIT APDA (MAJOR), DUAL BRAKE VALVE MAJOR KIT, STD PISTON RING REPAIR KIT, CONNECTING ROD E 694 230 CC COMPRESSOR AND CRANKSHAFT E694 230CC COMPRESSOR.","REPAIR KIT APDA (MAJOR), DUAL BRAKE VALVE MAJOR KIT, STD PISTON RING REPAIR KIT, CONNECTING ROD E 694 230 CC COMPRESSOR AND CRANKSHAFT E694 230CC COMPRESSOR.",09-02-2026,11-02-2026,180,"4,000",NA,Brihanmumbai Electric Supply and Transport Undertaking||Materials Management Department Mumbai||Materials Management Department Dadar||Transport - I,https://mahatenders.gov.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S5ajJALEzmcTSIUGyHKSXtA%3D%3D
