tender_id,tender_number,title,description,due_date,bid_opening_date,bid_offer_validity,emd_amount,estimated_cost,organization_details,url
2026_CESWR_1274309_4,2026_CESWR_1274309_4,Work of Providing MS fabricated cage to valves on rising main of LIS-I to IV of Khadakpurna Project,Work of Providing MS fabricated cage to valves on rising main of LIS-I to IV of Khadakpurna Project,11-02-2026,13-02-2026,60,0.00,"10,60,008","CE(SP)-Water Resources Dept. Amravati||SE Buldhana Irrigation Project Circle Buldhana||EE Khadakpurna Project Division, Deulgaon Raja",https://mahatenders.gov.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S%2FIpgQFadKIBWYK3JOtEing%3D%3D
2026_MCGM_1273498_1,2026_MCGM_1273498_1,"Work of providing expansion joints, replacement of suction distance pipe of Pump No. 201 and 204 and replacement of delivery distance pipe and suction valve of Pump No. 203 at Mazgoan Pumping Station.","Work of providing expansion joints, replacement of suction distance pipe of Pump No. 201 and 204 and replacement of delivery distance pipe and suction valve of Pump No. 203 at Mazgoan Pumping Station.",10-02-2026,11-02-2026,180,"10,500",NA,Municipal Corporation of Greater Mumbai||Sewerage Operation Department||Dy. Ch.E (Sewerage Operation) City||Ex.E. Mechanical (Sewerage) City-I,https://mahatenders.gov.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SKu1TfedIobLkKN5uiNEDbA%3D%3D
2026_MCGM_1273923_1,2026_MCGM_1273923_1,Supply of material required for maintenance of various sizes water mains and control valves for A.E.W.W.(C)E.S. and A.E.(M.)W.W.E.S.-I division,Supply of material required for maintenance of various sizes water mains and control valves for A.E.W.W.(C)E.S. and A.E.(M.)W.W.E.S.-I division,10-02-2026,11-02-2026,180,"6,000",NA,Municipal Corporation of Greater Mumbai||Hydraulic Engineer Department||Dy.H.E.(Maintenance)||E.E.W.W.(Headworks) Mech and Elect,https://mahatenders.gov.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S0vpmRbtRm3CLFHAdguPkWQ%3D%3D
