tender_id,description,due_date,url,document_type
86996057,"Contract for the work of Installation, Commissioning, Leakage, testing of Air Suspension Reservoir, Control Equipment along with pipeline fittings and valves etc. as per drawing nos. 61705003 alt-nil for bogies fitted with Bogie Bolster within built reservoir procured, against Pl. No. 30040231 Drawing No. ICF/SK3-0-4-001 Alt d",,https://www.ireps.gov.in/ireps/works/pdfdocs/022026/86996057/viewNitPdf_5262625.pdf,pdf
gem_125502,,Not specified,https://tenders.hpcl.co.in/TenderManagementSystem/validatePublicTenders,webpage
364483,MIS ReportsTenders by LocationTenders by OrganisationTenders by ClassificationTenders in ArchiveTenders StatusCancelled/RetenderedDownloadsAnnouncementsDebarment ListRecognitionsSite compatibilityView More DetailsTender DetailsBasic DetailsOrganisation ChainCentral Coalfields Limited||KatharaTender Reference NumberJRD/PE/Excv/E-TENDER/25-26/366Tender ID2026_CCL_351718_1Withdrawal AllowedYesTender TypeOpen TenderForm Of ContractItem RateTender CategoryWorksNo. of Covers1General Technical Evaluati,Not specified,https://coalindiatenders.nic.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=364483,webpage
gem_pdf_52201,A Set of Valves to Lateral conveyors.,,https://www.ireps.gov.in/ireps/supply/pdfdocs/012026/106945732/viewNitPdf_5260821.pdf,pdf
1131841,"MIS ReportsTenders by LocationTenders by ClassificationTenders in ArchiveCancelled/RetenderedDownloadsDebarment ListAnnouncementsRecognitionsSite compatibilityRelated LinksView More DetailsTender DetailsBasic DetailsOrganisation ChainSecurity Printing and Minting Corp of India Ltd||Security Paper Mill, HoshangabadTender Reference NumberGEM/2026/B/7105774Tender ID2026_SPMCI_826809_1Withdrawal AllowedYesTender TypeOpen TenderForm Of ContractBuyTender CategoryGoodsNo. of Covers2General Technical Ev",Not specified,https://eprocure.gov.in/epublish/app?page=FrontEndTenderDetailsExternal&service=page&tnid=1131841,webpage
