tender_id,description,due_date,url,document_type
gem_902637,,Not specified,https://tenders.hpcl.co.in/TenderManagementSystem/validatePublicTenders,webpage
839538,MIS ReportsTenders by LocationTenders in ArchiveTenders StatusCancelled/RetenderedDownloadsAnnouncementsRecognitionsDebarment ListSite compatibilityView More DetailsTender DetailsBasic DetailsOrganisation ChainE-IN-C BRANCH - MILITARY ENGINEER SERVICES||CESC AND CE( NAVY )MUMBAI - MES||CWE NAVY VASCO - MESTender Reference Number86052/E8Tender ID2026_MES_749631_1Withdrawal AllowedYesTender TypeOpen TenderForm Of ContractItem RateTender CategoryWorksNo. of Covers2General Technical Evaluation Allow,Not specified,https://defproc.gov.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=839538,webpage
gem_739140,,Not specified,https://www.tenderwizard.in/BNP,webpage
gem_67657,,,https://assets-bg.gem.gov.in/resources/upload/shared_doc/gem_certificate_1651680716.PDF,unknown
107587,ReportsTenders by LocationTenders by OrganisationTenders by ClassificationTenders in ArchiveTenders StatusCancelled/RetenderedDebarment ListDownloadsAnnouncementsAwardsSite compatibilityView More DetailsTender DetailsBasic DetailsOrganisation ChainNTPC Limited||Corporate Centre||USSC||CPG-3Tender Reference NumberNTPC/USSC-CPG3/9900316004Tender ID2026_NTPC_104358_1Withdrawal AllowedYesTender TypeLimitedForm Of ContractSupplyTender CategoryGoodsNo. of Covers1General Technical Evaluation AllowedYes,Not specified,https://eprocurentpc.nic.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=107587,webpage
