tender_id,description,due_date,url
86899346,PDF Tender: Execution of Through Sleeper Renewal (Primary ) Works like 1. TSR(P) for a length of 19.731 TrKm with Railway PQRS between Palasa-Vizianagaram-Donkinavalasa section. 2.TSR(P) for a length of 6.45 TrKm Manual between Palasa-Vizianagaram-Donkinavalasa section. 3.TSR(P) for a length of 3.876 TrKm Manual at VZM Yard on UP & DN line under ADEN/VZM jurisdiction.,Not specified,https://www.ireps.gov.in/ireps/works/pdfdocs/022026/86899346/viewNitPdf_5256699.pdf
86894079,"PDF Tender: Through Sleeper Renewal (TSR/P) = 45.593 by TRT/PQRS, TRR(P) = 4.09 Tkm, TFR = 66.536 Tkm, TBR (T/O) = 16 Sets (1 in 12 = 3 Sets & 1 in 8.5 = 13 Sets ) TBR = 22.632 Tkm & TTR (TWS + WCMSC) - 02 sets (1:12) under jurisdiction of ADEN/Line/Danapur",Not specified,https://www.ireps.gov.in/ireps/works/pdfdocs/022026/86894079/viewNitPdf_5256465.pdf
86995530,"PDF Tender: (I) Through Sleeper Renewal (Primary){TSR(P)} by PQRS machine/Manually including deep screening work by BCM/Manually, Execution of Cess repair, construction/repair of drain & other miscellaneous P-Way related works for 22.650 Tkm in Padapahar -Nayagarh & 7.586 Tkm in Barajamda Jn. - Bolanikhadan Section. (II) Through Sleeper Renewal (Primary){TSR(P)} by PQRS machine including deep screening work by BCM, Execution of Cess repair & other miscellaneous P-Way related works for for 2.85",Not specified,https://www.ireps.gov.in/ireps/works/pdfdocs/022026/86995530/viewNitPdf_5262546.pdf
86697186,"PDF Tender: TSR(P) by PQRS & manual-35.5 TKM [Km 574.00 -584.00 in KNW-ET (UP & DN), Km 752.000- 762.500 in ET-BPL UP RD, KM 747.00 - 752.00 in ET-BPL MIDDLE line], TRR (P)- 15 TKM, TFR- 26.5 TKM under Sr. DEN/South/ Bhopal Jurisdiction.",Not specified,https://www.ireps.gov.in/ireps/works/pdfdocs/022026/86697186/viewNitPdf_5245680.pdf
