tender_id,description,due_date,url
2025_MES_736213_2,,Not specified,https://defproc.gov.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=840576
106943751,"PDF Tender: Procurement of Valves etc., for Track Machine.",Not specified,https://www.ireps.gov.in/ireps/supply/pdfdocs/022026/106943751/viewNitPdf_5257280.pdf
2026_FACT_894704_1,,Not specified,https://eprocure.gov.in/eprocure/app?page=FrontEndTenderDetailsExternal&service=page&tnid=940422
2026_MES_749200_1,,Not specified,https://defproc.gov.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=839027
68256159,PDF Tender: SET OF VALVES FOR M/s KBIL MAKE AWS AND [SET OF VALVES FOR M/s KBIL MAKE AWS AND DEADMAN BRAKE ACTUATING CONTROL PANEL COMPRISING OF: 1) MAIN VALVE (DEAD MANS VALVE) S1/S2 TO M/s KBIL PART No. I74911/110 RC Qty. =01 No. 2) MAGNET VALVE MV1 /MV2 TO M/s KBIL PART No II 51660/110 Qty. =01 No. 3) ISOLATING COCK C1/C2 TO M/s KBIL PART No. WBAHB230AA002 Qty. =01 No. 4) ISOLATING VALVE C3/C4 TO M/s KBIL PART No. II 30339 Qty. -01 No. (One set consists of 04 items having 04 Nos. per set) ],Not specified,https://www.ireps.gov.in/ireps/supply/pdfdocs/022026/106942660/viewNitPdf_5255775.pdf
