tender_id,description,due_date,url
107002780,PDF Tender: 25 mm manual flush valve push type for b [25 mm manual flush valve push type for bypass arrangement designed for pressurized flushing system. Note: Sample to be approved before bulk supply ],Not specified,https://www.ireps.gov.in/ireps/supply/pdfdocs/032026/107002780/viewNitPdf_5329630.pdf
107002719,PDF Tender: Rubber maintenance kit for A9 valve,Not specified,https://www.ireps.gov.in/ireps/supply/pdfdocs/032026/107002719/viewNitPdf_5329561.pdf
107002699,PDF Tender: Passenger Emergency Alarm Valve Drg. No. FTIL part no. FT005T128-100.,Not specified,https://www.ireps.gov.in/ireps/supply/pdfdocs/042026/107002699/viewNitPdf_5329549.pdf
107002665,PDF Tender: Repair kit for duplex check valve to RDSO drawing No. SKDP - 1187,Not specified,https://www.ireps.gov.in/ireps/supply/pdfdocs/032026/107002665/viewNitPdf_5329536.pdf
107002635,PDF Tender: AUTOMATIC BRAKE VALVE,Not specified,https://www.ireps.gov.in/ireps/supply/pdfdocs/042026/107002635/viewNitPdf_5329442.pdf
