tender_id,description,due_date,url
2026_FACT_896440_1,Replacement of Damaged Structural Supports and Deck Plates in Gypsum Series Conveyors in PA Plant During ATA 2026,16-02-2026,https://eprocure.gov.in/eprocure/app?page=FrontEndTenderDetailsExternal&service=page&tnid=942243
2526000277,Error accessing tender: Mine-IA - Short Term - SMD - Pre-casting of 15 nos. of Tail end anchoring blocks for conveyors in Mi,Not specified,https://procure.nlcindia.in/specification/tender/2526000277
2026_FACT_895309_1,"Reprocessing and reclamation of spilled Sulphur from various locations in the plant like spillages from charging conveyors, filter area and furnace area etc., Clearing of Drains and Pits, Cleaning and washing of equipment and plant premises etc.",13-02-2026,https://eprocure.gov.in/eprocure/app?page=FrontEndTenderDetailsExternal&service=page&tnid=941045
2026_SPMCI_826793_1,Procurement of Belts and Conveyors of Schuler Coining press Bosch packaging line and Scan packaging,21-02-2026,https://eprocure.gov.in/epublish/app?page=FrontEndTenderDetailsExternal&service=page&tnid=1131828
2026_BPSCL_262788_1,Assistance in coal feeding by segregating different types of foreign materials from grills and conveyors in CHP.,09-02-2026,https://etenders.gov.in/eprocure/app?page=FrontEndTenderDetailsExternal&service=page&tnid=304566
