tender_id,description,due_date,url
87231926,PDF Tender: Procurement of Summer Uniform (Cloth)- 2026 for DMRC,Not specified,https://www.ireps.gov.in/ireps/supply/pdfdocs/022026/87231926/viewNitPdf_5274220.pdf
87231937,PDF Tender: Procurement of Summer Uniform (T-Shirts)- 2026 for DMRC,Not specified,https://www.ireps.gov.in/ireps/supply/pdfdocs/022026/87231937/viewNitPdf_5274228.pdf
87230300,"PDF Tender: Procurement of Summer Uniform (Belt, Cap & Tie)- 2026 for DMRC",Not specified,https://www.ireps.gov.in/ireps/supply/pdfdocs/022026/87230300/viewNitPdf_5274095.pdf
