tender_id,description,due_date,url,document_type
gem_772855,,Not specified,https://tenders.hpcl.co.in/TenderManagementSystem/validatePublicTenders,webpage
106945732,A Set of Valves to Lateral conveyors.,,https://www.ireps.gov.in/ireps/supply/pdfdocs/012026/106945732/viewNitPdf_5260821.pdf,pdf
62021,ReportsTenders by LocationTenders by OrganisationTenders by ClassificationTenders in ArchiveTenders StatusCancelled/RetenderedDownloadsDebarment ListAnnouncementsAwardsSite compatibilityView More DetailsTender DetailsBasic DetailsOrganisation ChainBharat Heavy Electricals Limited||PSWR||PSWR Sites - Domestic||Site - DOM - Manuguru TSGENCO||Site - DOM - Manuguru TSGENCOTender Reference NumberBHE/PW/BTPS/Mech/U#4/PP/001Tender ID2026_BHEL_57391_1Withdrawal AllowedYesTender TypeLimitedForm Of Contra,Not specified,https://eprocurebhel.co.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=62021,webpage
61991,ReportsTenders by LocationTenders by OrganisationTenders by ClassificationTenders in ArchiveTenders StatusCancelled/RetenderedDownloadsDebarment ListAnnouncementsAwardsSite compatibilityView More DetailsTender DetailsBasic DetailsOrganisation ChainBharat Heavy Electricals Limited||HPEP - HyderabadTender Reference NumberH6A1Z43625Tender ID2026_BHEL_57361_1Withdrawal AllowedYesTender TypeOpen TenderForm Of ContractSupplyTender CategoryGoodsNo. of Covers2General Technical Evaluation AllowedNoItemWi,Not specified,https://eprocurebhel.co.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=61991,webpage
107611,ReportsTenders by LocationTenders by OrganisationTenders by ClassificationTenders in ArchiveTenders StatusCancelled/RetenderedDebarment ListDownloadsAnnouncementsAwardsSite compatibilityView More DetailsTender DetailsBasic DetailsOrganisation ChainNTPC Limited||Corporate Centre||USSC||CPG-3Tender Reference NumberNTPC/USSC-CPG3/9900318317Tender ID2026_NTPC_104382_1Withdrawal AllowedYesTender TypeLimitedForm Of ContractSupplyTender CategoryGoodsNo. of Covers2General Technical Evaluation AllowedYes,Not specified,https://eprocurentpc.nic.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=107611,webpage
