tender_id,description,due_date,url
BE,Error accessing tender: TENDER BE CAFE OF NON SOR ITEMS AT MAJOR AMIY,Not specified,https://bpcltenders.eproc.in/
2026_BHEL_829636_1,Error accessing tender: Procurement of materials of TG Enclosure at 1x660 MW Sagardighi Site,Not specified,https://eprocure.gov.in/epublish/app?page=FrontEndTenderDetailsExternal&service=page&tnid=1134677
2026_ARMHA_899066_1,Error accessing tender: Cartg SA 7.62mm A-7 Mk-II,Not specified,https://eprocure.gov.in/eprocure/app?page=FrontEndTenderDetailsExternal&service=page&tnid=945016
