tender_id,description,due_date,url
2026_PDR_188818_1,,Not specified,https://iocletenders.nic.in/nicgep/app?page=FrontEndTenderDetailsExternal&service=page&tnid=199081
2026_NIPGR_897378_1,Tender for Maintenance of HVAC Chiller Feeding Old Lab Block at NIPGR,26-02-2026,https://eprocure.gov.in/eprocure/app?page=FrontEndTenderDetailsExternal&service=page&tnid=943247
7bdef57f0431,Error accessing tender: Repair and Maintenance of HVAC ducts and chilled water pipelines insulation at phase V in IIMK campus.,Not specified,https://mhrd.ewizard.in/
106957666,PDF Tender: Amit make HVAC spare Fresh Air Sensors,Not specified,https://www.ireps.gov.in/ireps/supply/pdfdocs/022026/106957666/viewNitPdf_5275423.pdf
106957656,PDF Tender: Amit make HVAC spare Differential,Not specified,https://www.ireps.gov.in/ireps/supply/pdfdocs/022026/106957656/viewNitPdf_5275399.pdf
